year,area,village,master,college,highSchool,secondary,total,lat,lon,state_code
106,松山區,莊敬里,0.08117550349362926,0.2895602137279079,0.4568434032059186,0.17242087957254418,4866,25.0721568,121.5669693,554427016
106,松山區,東榮里,0.1581815574358239,0.38706439122328984,0.3843395955829629,0.07041445575792342,6973,25.0604219,121.557694,554226992
106,松山區,三民里,0.13477698771816418,0.3831609566903685,0.3926955397543633,0.08936651583710407,6188,25.0596604,121.5623318,554126992
106,松山區,新益里,0.10323647531301677,0.324120009449563,0.43775100401606426,0.134892511221356,4233,25.0620451,121.5676828,554226998
106,松山區,富錦里,0.12819420783645655,0.3649914821124361,0.40396081771720616,0.10285349233390119,4696,25.0600662,121.5648289,554126993
106,松山區,新東里,0.1100607697501688,0.3182534323655188,0.45082151699302275,0.12086428089128967,4443,25.0573948,121.5705365,554126989
106,松山區,富泰里,0.13813886210221793,0.36861137897782065,0.40742526518804245,0.085824493731919,4148,25.05783,121.5644722,554126989
106,松山區,介壽里,0.15967035797064125,0.35616791140870463,0.39917589492660316,0.08498583569405099,3883,25.0574338,121.559121,554126987
106,松山區,精忠里,0.1588711784687745,0.3799320616671022,0.3929971256859159,0.06819963417820747,3827,25.0649138,121.5526993,554327000
106,松山區,東光里,0.12039573820395738,0.36879756468797564,0.41126331811263317,0.09954337899543379,6570,25.0527836,121.561975,554026978
106,松山區,龍田里,0.16762484500056363,0.3903731259159058,0.3780858978694623,0.0639161312140683,8871,25.0551182,121.557694,554026982
106,松山區,東昌里,0.15835777126099707,0.3485546711353163,0.4046920821114369,0.08839547549224969,2387,25.0575322,121.5544832,554126986
106,松山區,東勢里,0.13714285714285715,0.35428571428571426,0.41194805194805195,0.09662337662337663,3850,25.0527232,121.5551967,554026976
106,松山區,中華里,0.1810781476121563,0.39399421128798845,0.3578147612156295,0.06711287988422576,5528,25.0541473,121.5505587,554026978
106,松山區,民有里,0.13955533224469288,0.38022861449566636,0.3925386258007788,0.08767742745886195,7961,25.0601237,121.5477044,554126990
106,松山區,民福里,0.10101522842639594,0.33756345177664976,0.43214890016920476,0.12927241962774957,5910,25.063112,121.5462773,554226995
106,松山區,慈祐里,0.0734094616639478,0.27379010331702014,0.4722675367047308,0.18053289831430125,7356,25.0507461,121.5762438,553926976
106,松山區,安平里,0.09733000131527028,0.30803630145995003,0.4296988031040379,0.1649348941207418,7603,25.0527643,121.5676828,554026979
106,松山區,鵬程里,0.09740657545435981,0.32407596487645496,0.45987339187257503,0.11864406779661017,4897,25.0554159,121.5676828,554026984
106,松山區,自強里,0.13823091886943586,0.3503833390548118,0.41377732005950335,0.097608422016249,8739,25.0550991,121.563402,554026983
106,松山區,吉祥里,0.12607449856733524,0.35764522010940347,0.41872883563427976,0.09755144568898151,7678,25.050468,121.560548,553926972
106,松山區,新聚里,0.11426222770242499,0.32826414577339363,0.4418413481298808,0.11563227839430058,7299,25.0501126,121.5676828,553926973
106,松山區,復盛里,0.10821988626572462,0.3236257108392211,0.43684301223505084,0.13131139066000344,5803,25.0468264,121.559121,553926964
106,松山區,中正里,0.15392038600723765,0.3706875753920386,0.39843184559710493,0.07696019300361882,8290,25.0503465,121.5469909,553926969
106,松山區,中崙里,0.11992209237618252,0.3280467445742905,0.4493600445186422,0.10267111853088481,3594,25.0462094,121.5448501,553826959
106,松山區,美仁里,0.1326903890921184,0.3511805786498171,0.4040571998669771,0.11207183239108746,3007,25.0498332,121.5519858,553926969
106,松山區,吉仁里,0.12233736327000576,0.35895221646516984,0.4265975820379965,0.09211283822682786,3474,25.0465976,121.5530561,553926962
106,松山區,敦化里,0.13790283003435302,0.35776214624570585,0.40667430067070176,0.09766072304923933,6113,25.0461912,121.5505587,553826960
106,松山區,復源里,0.1375316684762939,0.32971407889974663,0.4249004705030764,0.1078537821208831,2763,25.0462614,121.5544832,553826961
106,松山區,復建里,0.13737373737373737,0.35,0.420959595959596,0.09166666666666666,3960,25.0461728,121.556267,553826961
106,松山區,復勢里,0.13130044843049327,0.3494170403587444,0.4209865470852018,0.09829596412556053,5575,25.0501507,121.556267,553926971
106,松山區,福成里,0.16131756756756757,0.36655405405405406,0.3893581081081081,0.08277027027027027,2368,25.0468634,121.5477044,553926961
106,松山區,松基里,0.13268411442483263,0.3527084601339014,0.38618381010346925,0.12842361533779673,3286,25.0564818,121.5462773,554126982
106,信義區,西村里,0.11317598959301245,0.31313882178033825,0.4291023973239175,0.14458279130273183,5381,25.0357054,121.5641155,553626937
106,信義區,正和里,0.149159151840117,0.3719229831830368,0.4014135998050207,0.07750426517182549,4103,25.0366343,121.5587643,553626938
106,信義區,興隆里,0.13284559106661534,0.3627262225644975,0.3796688486715441,0.12475933769734308,2597,25.0398605,121.560548,553726947
106,信義區,中興里,0.14132153019285487,0.36705659184318684,0.4027821688270629,0.08883970913689536,3163,25.0326563,121.5587643,553526928
106,信義區,新仁里,0.13485752153744202,0.37309476474486414,0.4039098740888005,0.08813783962889331,3018,25.0444919,121.563402,553826959
106,信義區,興雅里,0.11450816559058109,0.32491454614508164,0.43790353209266997,0.1226737561716673,5266,25.0408315,121.5676828,553726951
106,信義區,敦厚里,0.13751837077472182,0.3384421583035902,0.4125551123241654,0.11148435859752256,4763,25.0444729,121.5691097,553826960
106,信義區,廣居里,0.1345104794717198,0.35300028710881426,0.410565604364054,0.101923629055412,6966,25.0398229,121.5719634,553726950
106,信義區,安康里,0.1612054794520548,0.36383561643835616,0.39002739726027397,0.08493150684931507,9125,25.0363401,121.5726768,553626941
106,信義區,六藝里,0.08566275924256087,0.2762248271716261,0.4628794709948903,0.17523294259092276,3327,25.044384,121.5708932,553826960
106,信義區,雅祥里,0.10608048993875765,0.28937007874015747,0.43657042869641294,0.1679790026246719,4572,25.0481141,121.5705365,553926969
106,信義區,五常里,0.09192364170337738,0.28046989720998533,0.46079295154185024,0.16681350954478708,3405,25.0463631,121.5737469,553826966
106,信義區,五全里,0.09144350097975179,0.29327237099934683,0.45068582625734815,0.16459830176355322,4593,25.0443743,121.5737469,553826961
106,信義區,永吉里,0.049878015722418,0.23475196530224993,0.448902141501762,0.2664678774735701,3689,25.0474218,121.5790974,553926969
106,信義區,長春里,0.06428571428571428,0.2645408163265306,0.4556122448979592,0.21556122448979592,3920,25.0427122,121.5751737,553826957
106,信義區,四育里,0.08119079837618404,0.28706746568722213,0.4567948965783878,0.17494683935820607,5173,25.0480946,121.5762438,553926970
106,信義區,四維里,0.09428284854563691,0.3283851554663992,0.4345035105315948,0.14282848545636911,4985,25.0443646,121.5766005,553826962
106,信義區,永春里,0.08670520231213873,0.2776789684304135,0.451089373054691,0.1845264562027568,4498,25.0434446,121.5790974,553826960
106,信義區,富台里,0.11626721060683325,0.3179500254971953,0.4382967873533911,0.12748597654258031,3922,25.0415546,121.5744603,553726954
106,信義區,國業里,0.12479523454951601,0.33581533879374537,0.4198064035740879,0.11958302308265079,6715,25.0375675,121.5773139,553726945
106,信義區,松隆里,0.06749049429657794,0.23431558935361216,0.47338403041825095,0.22480988593155893,2104,25.0316711,121.5812375,553526930
106,信義區,松友里,0.10261535898717308,0.3146759953356655,0.45294019656838247,0.12976844910877894,6003,25.032185,121.5762438,553526931
106,信義區,松光里,0.09973810563072893,0.29965080750763856,0.4308162374508948,0.16979484941073766,4582,25.0398828,121.5787407,553726951
106,信義區,中坡里,0.08665218440743423,0.2838522809558291,0.4581221337195269,0.17137340091720976,4143,25.0314933,121.5848043,553526931
106,信義區,中行里,0.07453924914675768,0.2809556313993174,0.45802047781569966,0.18648464163822526,7325,25.0356289,121.5869443,553626942
106,信義區,大道里,0.1023749550197913,0.30928391507736597,0.4255127743792731,0.16282835552356964,5558,25.0414461,121.5819509,553726956
106,信義區,大仁里,0.08044752264251465,0.256259989344699,0.45098561534363346,0.2123068726691529,3754,25.0387946,121.5819509,553726949
106,信義區,景新里,0.13056702150771235,0.36063436888985445,0.3990875515967847,0.1097110580056485,4603,25.0312326,121.563402,553526925
106,信義區,惠安里,0.08538587848932677,0.2914614121510673,0.45582922824302136,0.16732348111658457,6090,25.0226049,121.5662559,553326901
106,信義區,三張里,0.11512915129151291,0.315990159901599,0.4314883148831488,0.13739237392373924,8130,25.0292346,121.5662559,553526920
106,信義區,三犁里,0.12620142081069788,0.3336815712494776,0.4126619306310071,0.1274550773088174,4786,25.0310368,121.5726768,553526927
106,信義區,六合里,0.12596153846153846,0.3310897435897436,0.42083333333333334,0.12211538461538461,6240,25.0217371,121.578384,553326901
106,信義區,泰和里,0.08307905686546463,0.2714285714285714,0.4676837725381415,0.17780859916782246,7210,25.0184501,121.5698231,553226889
106,信義區,景聯里,0.1224871435250117,0.3319308087891538,0.42028985507246375,0.12529219261337074,4278,25.0295888,121.559121,553526920
106,信義區,景勤里,0.09327956989247312,0.2752688172043011,0.45564516129032256,0.17580645161290323,3720,25.0269368,121.559121,553426912
106,信義區,雙和里,0.10549043800123381,0.3158544108574954,0.4435533621221468,0.135101789019124,6484,25.0236129,121.561975,553326903
106,信義區,嘉興里,0.09986320109439124,0.32147742818057456,0.4473324213406293,0.13132694938440492,2924,25.0276883,121.5573373,553426914
106,信義區,黎順里,0.12150764364786505,0.31945176594623087,0.4151291512915129,0.14391143911439114,3794,25.0243733,121.5573373,553426904
106,信義區,黎平里,0.11231771641327955,0.32112938256282964,0.42212224635432827,0.1444306546695625,6446,25.0223046,121.556267,553326898
106,信義區,黎忠里,0.08638097374915862,0.27238052501682747,0.45636078079425624,0.1848777204397577,4457,25.0203068,121.559121,553326893
106,信義區,黎安里,0.030659172202350538,0.17526826775677057,0.45937659683188553,0.33469596320899336,1957,25.0111663,121.5669693,553126865
106,大安區,德安里,0.1656441717791411,0.3886799920839106,0.37344151988917473,0.0722343162477736,5053,25.0349287,121.5477044,553626932
106,大安區,仁慈里,0.19499028287626863,0.3828546750161952,0.35283955949039086,0.06931548261714532,4631,25.0356006,121.5448501,553626933
106,大安區,和安里,0.18255410540227987,0.36510821080455974,0.3763423095985462,0.07599537419461425,6053,25.0357773,121.5412821,553626932
106,大安區,民炤里,0.2004779980317728,0.3833825390130747,0.3461268100660762,0.07001265288907633,7113,25.0352993,121.5348594,553626930
106,大安區,仁愛里,0.15133976420150053,0.4042872454448017,0.359914255091104,0.08445873526259379,4665,25.039738,121.5469909,553726944
106,大安區,義村里,0.1409961685823755,0.36130268199233717,0.40306513409961686,0.0946360153256705,5220,25.0392606,121.5405685,553726941
106,大安區,民輝里,0.16607717041800643,0.3580385852090032,0.3720257234726688,0.10385852090032155,6220,25.0397731,121.535573,553726941
106,大安區,昌隆里,0.15875725503584842,0.3810174120860362,0.3656538067599863,0.09457152611812905,2929,25.043575,121.5391412,553826951
106,大安區,誠安里,0.1284427966101695,0.3622881355932203,0.40625,0.10301906779661017,3776,25.0429031,121.5419957,553826950
106,大安區,光武里,0.14177215189873418,0.3718540580789278,0.38823529411764707,0.098138495904691,6715,25.0432212,121.5462773,553826952
106,大安區,龍坡里,0.24483369415469397,0.3733517024207833,0.3170635701633537,0.06475103326116906,5081,25.023699,121.5334321,553326897
